,SEC_NAME,EXE_MODE,EXE_PRICE,EXE_ENDDATE,CLOSE
2015/2/13,50ETF购2015年4月2.50,认购,2.5,2015/4/22 0:00,0.0576
2015/2/13,50ETF沽2015年4月2.50,认沽,2.5,2015/4/22 0:00,0.1554
2015/2/13,50ETF购2015年6月2.50,认购,2.5,2015/6/24 0:00,0.1007
2015/2/13,50ETF沽2015年6月2.50,认沽,2.5,2015/6/24 0:00,0.188
2015/2/13,50ETF购2015年9月2.50,认购,2.5,2015/9/23 0:00,0.1567
2015/2/13,50ETF沽2015年9月2.50,认沽,2.5,2015/9/23 0:00,0.2292
2015/2/13,50ETF购2015年3月2.40,认购,2.4,2015/3/25 0:00,0.0659
2015/2/16,50ETF购2015年3月2.20,认购,2.2,2015/3/25 0:00,0.2172
2015/2/16,50ETF购2015年3月2.25,认购,2.25,2015/3/25 0:00,0.1723
2015/2/16,50ETF购2015年3月2.30,认购,2.3,2015/3/25 0:00,0.131
2015/2/16,50ETF购2015年3月2.35,认购,2.35,2015/3/25 0:00,0.0939
2015/2/16,50ETF沽2015年3月2.20,认沽,2.2,2015/3/25 0:00,0.0138
2015/2/16,50ETF沽2015年3月2.25,认沽,2.25,2015/3/25 0:00,0.0203
2015/2/16,50ETF沽2015年3月2.30,认沽,2.3,2015/3/25 0:00,0.0305
2015/2/16,50ETF沽2015年3月2.35,认沽,2.35,2015/3/25 0:00,0.0458
2015/2/16,50ETF沽2015年3月2.40,认沽,2.4,2015/3/25 0:00,0.0687
2015/2/16,50ETF购2015年4月2.20,认购,2.2,2015/4/22 0:00,0.2322
2015/2/16,50ETF购2015年4月2.25,认购,2.25,2015/4/22 0:00,0.1927
2015/2/16,50ETF购2015年4月2.30,认购,2.3,2015/4/22 0:00,0.1564
2015/2/16,50ETF购2015年4月2.35,认购,2.35,2015/4/22 0:00,0.1272
2015/2/16,50ETF购2015年4月2.40,认购,2.4,2015/4/22 0:00,0.0994
2015/2/16,50ETF沽2015年4月2.20,认沽,2.2,2015/4/22 0:00,0.0217
2015/2/16,50ETF沽2015年4月2.25,认沽,2.25,2015/4/22 0:00,0.0322
2015/2/16,50ETF沽2015年4月2.30,认沽,2.3,2015/4/22 0:00,0.0477
2015/2/16,50ETF沽2015年4月2.35,认沽,2.35,2015/4/22 0:00,0.0694
2015/2/16,50ETF沽2015年4月2.40,认沽,2.4,2015/4/22 0:00,0.0938
2015/2/16,50ETF购2015年6月2.20,认购,2.2,2015/6/24 0:00,0.2618
2015/2/16,50ETF购2015年6月2.25,认购,2.25,2015/6/24 0:00,0.2257
2015/2/16,50ETF购2015年6月2.30,认购,2.3,2015/6/24 0:00,0.1952
2015/2/16,50ETF购2015年6月2.35,认购,2.35,2015/6/24 0:00,0.1654
2015/2/16,50ETF购2015年6月2.40,认购,2.4,2015/6/24 0:00,0.139
2015/2/16,50ETF沽2015年6月2.20,认沽,2.2,2015/6/24 0:00,0.0485
2015/2/16,50ETF沽2015年6月2.25,认沽,2.25,2015/6/24 0:00,0.0634
2015/2/16,50ETF沽2015年6月2.30,认沽,2.3,2015/6/24 0:00,0.0804
2015/2/16,50ETF沽2015年6月2.35,认沽,2.35,2015/6/24 0:00,0.1007
2015/2/16,50ETF沽2015年6月2.40,认沽,2.4,2015/6/24 0:00,0.1237
2015/2/16,50ETF购2015年9月2.20,认购,2.2,2015/9/23 0:00,0.312
2015/2/16,50ETF购2015年9月2.35,认购,2.35,2015/9/23 0:00,0.2179
2015/2/16,50ETF购2015年9月2.40,认购,2.4,2015/9/23 0:00,0.1915
2015/2/16,50ETF沽2015年9月2.20,认沽,2.2,2015/9/23 0:00,0.0823
2015/2/16,50ETF沽2015年9月2.25,认沽,2.25,2015/9/23 0:00,0.0998
2015/2/16,50ETF沽2015年9月2.30,认沽,2.3,2015/9/23 0:00,0.1152
2015/2/16,50ETF沽2015年9月2.35,认沽,2.35,2015/9/23 0:00,0.1392
2015/2/16,50ETF沽2015年9月2.40,认沽,2.4,2015/9/23 0:00,0.165
2015/2/16,50ETF购2015年3月2.45,认购,2.45,2015/3/25 0:00,0.0453
2015/2/16,50ETF沽2015年3月2.45,认沽,2.45,2015/3/25 0:00,0.0973
2015/2/16,50ETF购2015年4月2.45,认购,2.45,2015/4/22 0:00,0.075
2015/2/16,50ETF沽2015年4月2.45,认沽,2.45,2015/4/22 0:00,0.1209
2015/2/16,50ETF购2015年6月2.45,认购,2.45,2015/6/24 0:00,0.1166
2015/2/16,50ETF沽2015年6月2.45,认沽,2.45,2015/6/24 0:00,0.1529
2015/2/16,50ETF购2015年9月2.45,认购,2.45,2015/9/23 0:00,0.1678
2015/2/16,50ETF沽2015年9月2.45,认沽,2.45,2015/9/23 0:00,0.1892
2015/2/16,50ETF购2015年3月2.50,认购,2.5,2015/3/25 0:00,0.0304
2015/2/16,50ETF沽2015年3月2.50,认沽,2.5,2015/3/25 0:00,0.1284
2015/2/16,50ETF购2015年4月2.50,认购,2.5,2015/4/22 0:00,0.0565
2015/2/16,50ETF沽2015年4月2.50,认沽,2.5,2015/4/22 0:00,0.1456
2015/2/16,50ETF购2015年6月2.50,认购,2.5,2015/6/24 0:00,0.0979
2015/2/16,50ETF沽2015年6月2.50,认沽,2.5,2015/6/24 0:00,0.1837
2015/2/16,50ETF购2015年9月2.50,认购,2.5,2015/9/23 0:00,0.1514
2015/2/16,50ETF沽2015年9月2.50,认沽,2.5,2015/9/23 0:00,0.2196
2015/2/16,50ETF购2015年3月2.40,认购,2.4,2015/3/25 0:00,0.0663
2015/2/17,50ETF购2015年3月2.20,认购,2.2,2015/3/25 0:00,0.2296
2015/2/17,50ETF购2015年3月2.25,认购,2.25,2015/3/25 0:00,0.183
2015/2/17,50ETF购2015年3月2.30,认购,2.3,2015/3/25 0:00,0.1419
2015/2/17,50ETF购2015年3月2.35,认购,2.35,2015/3/25 0:00,0.1078
2015/2/17,50ETF沽2015年3月2.20,认沽,2.2,2015/3/25 0:00,0.0127
2015/2/17,50ETF沽2015年3月2.25,认沽,2.25,2015/3/25 0:00,0.0195
